address,house_type,solddate,soldprice,asking_price,size,monthly_fee,agent,municipality,year,month
26090,1,2013-01-23,1675000.0,1760000.0,218.0,3300000.0,22,46,0,0
44999,1,2013-05-21,3500000.0,3745000.0,160.0,3300000.0,22,1,0,4
17857,1,2013-05-22,3295000.0,3851750.0,160.0,3300000.0,22,34,0,4
26409,1,2013-05-22,4350000.0,3958500.0,160.0,3300000.0,22,28,0,4
28195,1,2013-05-29,2730000.0,2484300.0,160.0,3300000.0,22,42,0,4
34703,1,2013-05-30,1275000.0,2213933.333333333,160.0,3300000.0,22,0,0,4
38661,1,2013-07-06,1250000.0,1287500.0,157.0,3300000.0,22,43,0,6
17764,2,2013-10-06,3400000.0,3230000.0,160.0,3725000.0,39,0,0,9
41520,1,2013-06-14,2500000.0,3688750.0,158.0,3300000.0,22,38,0,5
5260,1,2013-06-24,3950000.0,4147500.0,156.0,3300000.0,22,26,0,5
40396,1,2013-05-20,895000.0,2106500.0,160.0,3300000.0,22,43,0,4
4515,1,2013-06-26,900000.0,972000.0,160.0,3300000.0,22,16,0,5
13857,1,2013-06-28,500000.0,640000.0,158.0,3300000.0,22,22,0,5
13194,1,2013-06-29,2600000.0,2225500.0,156.0,3300000.0,22,11,0,5
1038,2,2013-02-07,3700000.0,3811000.0,160.0,3725000.0,22,11,0,1
27877,1,2013-04-07,1000000.0,1090000.0,157.0,3300000.0,22,45,0,3
41902,1,2013-11-07,885000.0,1416750.0,158.0,3300000.0,22,24,0,10
32767,1,2013-12-07,1500000.0,1335000.0,160.0,3300000.0,22,1,0,11
18486,1,2013-07-19,1875000.0,1762500.0,159.0,3300000.0,22,20,0,6
35266,1,2013-07-19,2060000.0,1853650.0,160.0,3300000.0,22,25,0,6
21582,1,2013-07-31,1870000.0,1944800.0,160.0,3300000.0,22,32,0,6
39004,1,2013-06-27,1750000.0,1137500.0,156.0,3300000.0,43,12,0,5
24517,2,2013-01-08,3725000.0,3650500.0,158.0,3725000.0,22,11,0,0
44565,1,2013-05-20,1300000.0,468000.0,160.0,3300000.0,22,43,0,4
24869,1,2013-08-05,1220000.0,1244400.0,155.0,3300000.0,22,23,0,7
41068,1,2013-03-14,2300000.0,2392000.0,158.0,3300000.0,22,4,0,2
36773,1,2013-03-21,6110000.0,5804500.0,157.0,3300000.0,22,11,0,2
27327,1,2013-03-28,595000.0,4751000.0,159.0,3300000.0,22,34,0,2
2024,1,2013-03-28,3625000.0,3697500.0,160.0,3300000.0,22,1,0,2
47560,1,2013-04-04,250000.0,1891750.0,155.0,3300000.0,22,22,0,3
36329,1,2013-05-04,2950000.0,2891000.0,160.0,3300000.0,22,0,0,4
26166,1,2013-08-04,2650000.0,2782500.0,156.0,3300000.0,22,22,0,7
43314,1,2013-08-04,2650000.0,2252500.0,155.0,3300000.0,22,3,0,7
3653,1,2013-08-04,670000.0,696800.0,156.0,3300000.0,22,10,0,7
42399,1,2013-05-13,1525000.0,1494500.0,160.0,3300000.0,22,27,0,4
10929,1,2013-09-04,2700000.0,2430000.0,160.0,3300000.0,22,30,0,8
43686,1,2013-04-18,3520000.0,2745600.0,160.0,3300000.0,22,18,0,3
18528,1,2013-04-20,2500000.0,3719733.333333333,156.0,3300000.0,22,1,0,3
28305,1,2013-04-21,3875000.0,4693866.666666667,158.0,3300000.0,22,11,0,3
2532,1,2013-04-25,5450000.0,5668000.0,159.0,3300000.0,22,11,0,3
18623,1,2013-04-25,2000000.0,3482000.0,155.0,3300000.0,22,42,0,3
15912,2,2013-04-26,1200000.0,1296000.0,160.0,3725000.0,22,30,0,3
582,1,2013-04-26,3200000.0,2976000.0,155.0,3300000.0,22,32,0,3
30122,1,2013-04-30,410000.0,3616500.0,155.0,3300000.0,22,16,0,3
28733,1,2013-04-30,4300000.0,4257000.0,156.0,3300000.0,22,32,0,3
47993,1,2013-04-17,3400000.0,2822000.0,160.0,3300000.0,22,17,0,3
33725,1,2013-08-08,2550000.0,2499000.0,160.0,3300000.0,22,48,0,7
33624,1,2013-08-14,1840000.0,1895200.0,160.0,3300000.0,22,23,0,7
15087,1,2013-08-14,2680000.0,2224400.0,160.0,3300000.0,22,46,0,7
45162,1,2013-10-26,2400000.0,2664000.0,156.0,3300000.0,10,42,0,9
9332,1,2013-11-13,1825000.0,1898000.0,157.0,3300000.0,14,4,0,10
21169,1,2013-11-18,4000000.0,3600000.0,160.0,3300000.0,22,11,0,10
29251,1,2013-11-20,2350000.0,3036400.0,158.0,3300000.0,22,25,0,10
29854,1,2013-11-21,840000.0,1444800.0,159.0,3300000.0,22,11,0,10
1785,1,2013-11-24,3750000.0,1297650.0,156.0,3300000.0,43,4,0,10
47841,1,2013-11-26,650000.0,1150500.0,159.0,3300000.0,22,11,0,10
23342,1,2013-11-30,525000.0,989125.0,160.0,3300000.0,22,9,0,10
24926,1,2013-11-30,1075000.0,827750.0,156.0,3300000.0,22,39,0,10
40934,1,2013-10-25,795000.0,2697000.0,160.0,3300000.0,22,30,0,9
16102,2,2013-04-12,3775000.0,3435250.0,156.0,3725000.0,22,11,0,3
32529,1,2013-12-12,1200000.0,1176000.0,159.0,3300000.0,22,24,0,11
46904,1,2013-10-25,780000.0,795600.0,186.0,3300000.0,22,30,0,9
39619,1,2013-10-31,900000.0,891000.0,198.0,3300000.0,22,9,0,9
13355,1,2013-04-11,2360000.0,1935200.0,195.0,3300000.0,22,45,0,3
26157,1,2013-07-11,4860000.0,4568400.0,185.0,3300000.0,22,18,0,6
17504,2,2013-11-13,2650000.0,2597000.0,200.0,3725000.0,22,1,0,10
35483,1,2013-11-29,2750000.0,2667500.0,190.0,3300000.0,22,17,0,10
46257,1,2013-11-29,2125000.0,2188750.0,184.0,3300000.0,22,40,0,10
39918,1,2013-01-12,3150000.0,2740500.0,184.0,3300000.0,22,1,0,0
21142,2,2013-06-12,3300000.0,2560000.0,158.0,3725000.0,22,11,0,5
3704,1,2013-10-25,3000000.0,2730000.0,160.0,3300000.0,22,11,0,9
26410,1,2013-10-22,4310000.0,3318700.0,158.0,3300000.0,22,28,0,9
7173,1,2013-10-18,3000000.0,2670000.0,159.0,3300000.0,22,32,0,9
3507,1,2013-08-14,4250000.0,3867500.0,156.0,3300000.0,22,4,0,7
15845,2,2013-08-22,5200000.0,5408000.0,160.0,3725000.0,22,11,0,7
3495,1,2013-08-23,1650000.0,1765500.0,158.0,3300000.0,22,23,0,7
3390,1,2013-08-29,2550000.0,2244000.0,159.0,3300000.0,22,4,0,7
4200,1,2013-08-31,2300000.0,2484000.0,157.0,3300000.0,22,42,0,7
32083,1,2013-08-31,370000.0,392200.0,160.0,3300000.0,22,43,0,7
33398,1,2013-02-09,2700000.0,2430000.0,158.0,3300000.0,43,4,0,1
36768,1,2013-03-09,5050000.0,4393500.0,157.0,3300000.0,22,15,0,2
36206,1,2013-05-09,1600000.0,1888000.0,157.0,3300000.0,22,11,0,4
23590,1,2013-06-09,3050000.0,1213433.3333333333,158.0,3300000.0,39,11,0,5
11235,1,2013-09-15,885000.0,876150.0,160.0,3300000.0,22,24,0,8
23406,1,2013-09-18,2300000.0,2392000.0,158.0,3300000.0,22,0,0,8
12757,1,2013-09-23,3350000.0,3484000.0,157.0,3300000.0,22,18,0,8
4493,1,2013-09-25,3400000.0,2890000.0,160.0,3300000.0,43,19,0,8
21071,1,2013-09-27,3800000.0,3952000.0,156.0,3300000.0,22,15,0,8
21065,1,2013-09-27,1060000.0,-720800.0,160.0,3300000.0,22,23,0,8
34995,1,2013-09-29,1400000.0,1498000.0,160.0,3300000.0,22,43,0,8
44388,1,2013-09-30,670000.0,723600.0,160.0,3300000.0,22,36,0,8
10976,1,2013-02-10,155000.0,57350.0,160.0,3300000.0,22,45,0,1
10942,1,2013-10-15,2265000.0,1902600.0,160.0,3300000.0,22,42,0,9
15710,1,2013-10-17,2800000.0,2996000.0,160.0,3300000.0,22,23,0,9
36126,1,2013-12-03,4050000.0,4131000.0,159.0,3300000.0,22,11,0,11
9696,1,2013-03-12,6700000.0,4757000.0,193.0,3300000.0,37,11,0,2
422,1,2013-11-03,845000.0,2905500.0,156.0,3300000.0,22,13,0,10
37513,2,2013-05-03,800000.0,880000.0,158.0,3725000.0,22,30,0,4
41080,0,2013-03-09,170000.0,159800.0,20.0,1025.0,36,40,0,2
43427,0,2013-08-31,1270000.0,1066800.0,24.5,1565.0,39,11,0,7
43420,0,2013-08-22,1260000.0,919800.0,24.5,1565.0,39,11,0,7
28992,0,2013-07-08,38000.0,44080.0,25.0,1431.0,22,25,0,6
4630,0,2013-07-19,1150000.0,1184500.0,23.0,2326.0,37,11,0,6
45046,0,2013-07-07,775000.0,658750.0,21.0,1704.0,22,26,0,6
45390,0,2013-03-14,160000.0,64000.0,25.0,1442.0,22,4,0,2
13120,1,2013-09-04,2700000.0,2970000.0,195.0,3300000.0,36,45,0,8
30310,2,2013-04-16,4520000.0,4384400.0,193.0,3725000.0,22,11,0,3
24772,0,2013-11-09,55000.0,48400.0,23.1,984.0,39,47,0,10
37507,1,2013-04-18,1575000.0,1228500.0,200.0,3300000.0,22,33,0,3
13576,1,2013-04-24,6150000.0,6211500.0,200.0,3300000.0,22,28,0,3
41774,1,2013-04-24,1975000.0,5164500.0,200.0,3300000.0,22,23,0,3
27130,1,2013-04-29,7000000.0,9940000.0,195.0,3300000.0,22,27,0,3
13669,1,2013-02-05,3800000.0,3344000.0,200.0,3300000.0,22,4,0,1
42420,1,2013-05-13,2150000.0,2279000.0,182.0,3300000.0,22,22,0,4
32674,1,2013-05-16,2150000.0,1548000.0,197.0,3300000.0,22,19,0,4
2431,1,2013-05-26,2900000.0,2436000.0,187.0,3300000.0,22,22,0,4
17639,1,2013-05-27,3585000.0,2596000.0,182.0,3300000.0,22,11,0,4
1889,1,2013-05-29,2650000.0,2756000.0,191.0,3300000.0,22,40,0,4
8456,1,2013-04-19,3850000.0,3080000.0,200.0,3300000.0,22,1,0,3
22223,1,2013-05-31,4400000.0,4224000.0,182.0,3300000.0,22,11,0,4
45045,0,2013-07-10,725000.0,674250.0,21.0,1783.0,22,26,0,6
46346,0,2013-10-23,1330000.0,851200.0,23.4,1089.0,39,11,0,9
28341,1,2013-05-09,2050000.0,2193500.0,163.0,3300000.0,22,40,0,4
38303,1,2013-09-26,1650000.0,1831500.0,165.0,3300000.0,22,29,0,8
36484,1,2013-09-26,2175000.0,2283750.0,164.0,3300000.0,22,30,0,8
4494,1,2013-09-27,1520000.0,1672000.0,162.0,3300000.0,22,22,0,8
11875,1,2013-09-27,2825000.0,2909750.0,163.0,3300000.0,22,19,0,8
44796,1,2013-02-10,5450000.0,2930000.0,163.0,3300000.0,22,11,0,1
16839,1,2013-08-10,2100000.0,2205000.0,164.0,3300000.0,22,0,0,7
26398,1,2013-08-10,4160000.0,1515500.0,164.0,3300000.0,22,28,0,7
16639,1,2013-08-10,1400000.0,826000.0,165.0,3300000.0,22,29,0,7
18333,0,2013-10-22,275000.0,214500.0,24.0,1426.0,22,40,0,9
10690,1,2013-10-14,3500000.0,3360000.0,163.0,3300000.0,22,11,0,9
43569,1,2013-10-21,3690000.0,3763800.0,162.0,3300000.0,22,27,0,9
25602,2,2013-10-23,5850000.0,5089500.0,161.0,3725000.0,37,11,0,9
41114,1,2013-10-28,3250000.0,3185000.0,161.0,3300000.0,22,1,0,9
14504,1,2013-06-11,3120000.0,2620800.0,163.0,3300000.0,10,42,0,5
47713,1,2013-11-22,3550000.0,3692000.0,161.0,3300000.0,22,15,0,10
45315,2,2013-11-27,1600000.0,1648000.0,162.0,3725000.0,22,11,0,10
14904,1,2013-01-12,3050000.0,3233000.0,164.0,3300000.0,43,23,0,0
11646,1,2013-04-12,350000.0,1461900.0,162.0,3300000.0,22,1,0,3
30795,1,2013-09-12,1900000.0,1729000.0,161.0,3300000.0,43,4,0,8
6896,1,2013-10-15,5750000.0,5865000.0,161.0,3300000.0,22,15,0,9
35543,1,2013-03-06,5850000.0,5440500.0,190.0,3300000.0,22,11,0,2
43692,1,2013-07-06,3300000.0,5357100.0,197.0,3300000.0,22,21,0,6
42080,1,2013-06-15,3900000.0,5967000.0,185.0,3300000.0,22,11,0,5
16762,1,2013-02-10,1700000.0,4301750.0,190.0,3300000.0,22,23,0,1
28268,1,2013-10-10,3650000.0,3613500.0,185.0,3300000.0,22,32,0,9
37572,1,2013-12-10,2750000.0,2475000.0,181.0,3300000.0,22,42,0,11
11282,1,2013-10-15,5000000.0,5350000.0,182.0,3300000.0,22,11,0,9
2647,1,2013-10-16,1100000.0,1144000.0,185.0,3300000.0,22,36,0,9
41105,1,2013-10-17,1900000.0,2166000.0,193.0,3300000.0,43,3,0,9
46200,1,2013-10-17,1660000.0,1693200.0,193.0,3300000.0,39,30,0,9
5414,1,2013-11-01,1200000.0,4240150.0,156.0,3300000.0,22,42,0,10
5787,1,2013-01-21,2395000.0,2490800.0,156.0,3300000.0,22,27,0,0
39896,1,2013-09-27,5250000.0,3957500.0,183.0,3300000.0,43,4,0,8
2746,1,2013-01-26,4350000.0,4306500.0,160.0,3300000.0,22,32,0,0
39786,1,2013-03-02,2925000.0,2866500.0,160.0,3300000.0,22,4,0,2
26455,2,2013-05-02,2150000.0,2673666.6666666665,156.0,3725000.0,22,0,0,4
35503,1,2013-12-02,1395000.0,2480833.3333333335,155.0,3300000.0,22,20,0,11
13175,1,2013-12-02,2200000.0,2288000.0,160.0,3300000.0,22,30,0,11
30215,1,2013-02-15,2325000.0,2139000.0,158.0,3300000.0,22,42,0,1
13969,1,2013-02-19,1450000.0,1392000.0,159.0,3300000.0,22,35,0,1
39525,1,2013-02-20,1050000.0,1060500.0,157.0,3300000.0,22,41,0,1
26675,1,2013-02-26,2000000.0,2180000.0,155.0,3300000.0,22,42,0,1
6439,2,2013-02-27,2000000.0,2180000.0,159.0,3725000.0,22,30,0,1
27239,1,2013-01-28,895000.0,3586500.0,160.0,3300000.0,22,45,0,0
23563,1,2013-09-26,4150000.0,4482000.0,181.0,3300000.0,22,33,0,8
45287,1,2013-09-20,3500000.0,2905000.0,200.0,3300000.0,43,12,0,8
37479,1,2013-04-07,1600000.0,1664000.0,181.0,3300000.0,43,4,0,3
17797,2,2013-04-07,4280000.0,4237200.0,185.0,3725000.0,22,11,0,3
15282,1,2013-07-15,2600000.0,2730000.0,189.0,3300000.0,43,4,0,6
3570,1,2013-08-15,2400000.0,2544000.0,185.0,3300000.0,22,22,0,7
9164,1,2013-08-17,3025000.0,2934250.0,188.0,3300000.0,22,42,0,7
40692,1,2013-08-19,7750000.0,6510000.0,184.0,3300000.0,22,15,0,7
35578,1,2013-08-20,3700000.0,3885000.0,195.0,3300000.0,22,11,0,7
33643,1,2013-08-22,4420000.0,4066400.0,193.0,3300000.0,22,26,0,7
16855,1,2013-08-22,4942000.0,4170700.0,191.0,3300000.0,22,11,0,7
24845,1,2013-08-24,4820000.0,4434400.0,186.0,3300000.0,22,15,0,7
41203,1,2013-08-25,2100000.0,1974000.0,196.0,3300000.0,14,4,0,7
37769,1,2013-08-26,3310000.0,3210700.0,195.0,3300000.0,22,40,0,7
42896,1,2013-08-29,1650000.0,1749000.0,198.0,3300000.0,39,47,0,7
2665,1,2013-08-30,6850000.0,6233500.0,191.0,3300000.0,22,11,0,7
22554,1,2013-08-30,4500000.0,4950000.0,181.0,3300000.0,22,17,0,7
4418,1,2013-02-09,1700000.0,1938000.0,195.0,3300000.0,22,41,0,1
7471,1,2013-04-09,4430000.0,4252800.0,181.0,3300000.0,22,11,0,3
46201,1,2013-05-09,2176000.0,1980160.0,190.0,3300000.0,39,30,0,4
663,1,2013-08-09,3675000.0,913650.0,190.0,3300000.0,22,15,0,7
42898,1,2013-09-15,1495000.0,1272250.0,198.0,3300000.0,22,43,0,8
4485,1,2013-09-16,1415000.0,1556500.0,185.0,3300000.0,22,46,0,8
30903,1,2013-09-20,4900000.0,4802000.0,188.0,3300000.0,22,32,0,8
3495,1,2013-07-03,1400000.0,1680000.0,158.0,3300000.0,22,23,0,6
45292,2,2013-02-09,1560000.0,1482000.0,162.0,3725000.0,22,11,0,1
