soldprice,size,monthly_fee,agent,municipality,municipality_tax_rate,Number of rooms,House type,Asking price,Balcony,Construction year,Operating cost,Letting form,Floor Number,Lift Availability,year
1450000,21.0,1960.0,Bjurfors,Mölndals kommun,20.51,1.0,Apartment,1350000.0,0.0,1952.0,3600.0,Right of residence,3.0,0.0,2022
1050000,25.0,1819.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,995000.0,0.0,1955.0,3000.0,Right of residence,1.0,0.0,2022
160000,23.5,1475.0,Fastighetsbyrån,Falköpings kommun,21.95,1.0,Apartment,165000.0,0.0,1966.0,3000.0,Right of residence,5.0,1.0,2022
1660000,25.0,1776.0,HusmanHagberg,Mölndals kommun,20.51,1.0,Apartment,1675000.0,1.0,1957.0,3459.0,Right of residence,1.0,0.0,2022
400000,25.0,1654.0,HusmanHagberg,Borås kommun,21.31,1.0,Apartment,425000.0,0.0,1948.0,3984.0,Right of residence,3.0,0.0,2022
1400000,22.0,1842.0,Svensk,Göteborgs kommun,21.12,1.0,Apartment,1450000.0,0.0,1965.0,3600.0,Right of residence,1.0,0.0,2022
2420000,23.2,1830.0,Länsförsäkringar,Göteborgs kommun,21.12,1.0,Apartment,2150000.0,1.0,2022.0,3240.0,Right of residence,3.0,1.0,2022
630000,24.0,1781.0,Bostadsbutiken,Uddevalla kommun,22.16,1.0,Apartment,599000.0,0.0,1943.0,4400.0,Right of residence,2.0,0.0,2022
495000,24.6,1835.0,Bostadsbutiken,Uddevalla kommun,22.16,1.0,Apartment,495000.0,0.0,1960.0,4400.0,Right of residence,4.0,1.0,2022
2325000,24.5,1751.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,1850000.0,0.0,1971.0,2572.0,Right of residence,6.0,1.0,2022
2500000,25.0,2261.0,Västsvenska,Göteborgs kommun,21.12,1.0,Apartment,2490000.0,0.0,1961.0,4400.0,Right of residence,24.0,1.0,2022
2435000,25.0,1411.0,Alvhem,Göteborgs kommun,21.12,1.0,Apartment,1995000.0,0.0,1936.0,2700.0,Right of residence,3.0,0.0,2022
2700000,24.8,1888.0,HusmanHagberg,Göteborgs kommun,21.12,1.0,Apartment,1995000.0,1.0,2018.0,4400.0,Right of residence,7.0,1.0,2022
2395000,25.0,2260.0,Erik,Göteborgs kommun,21.12,1.0,Apartment,2395000.0,1.0,2020.0,5920.0,Right of residence,20.0,1.0,2022
220000,23.0,1633.0,Fastighetsbyrån,Hjo kommun,21.57,1.0,Apartment,185000.0,0.0,1956.0,235.0,Right of residence,3.0,0.0,2022
1300000,22.0,1625.0,HusmanHagberg,Kungälvs kommun,21.44,1.0,Apartment,995000.0,0.0,1984.0,3600.0,Right of residence,2.0,1.0,2022
1700000,23.0,2157.0,Svensk,Mölndals kommun,20.51,1.0,Apartment,1995000.0,0.0,1961.0,4400.0,Right of residence,4.0,0.0,2022
200000,23.5,1475.0,Mäklarhuset,Falköpings kommun,21.95,1.0,Apartment,230000.0,0.0,1966.0,2520.0,Right of residence,4.0,1.0,2022
1450000,22.0,1843.0,Fastighetsbyrån,Alingsås kommun,21.36,1.0,Apartment,1450000.0,0.0,2019.0,4400.0,Right of residence,2.0,1.0,2022
450000,25.0,1397.0,ERA,Borås kommun,21.31,1.0,Apartment,450000.0,0.0,1948.0,3600.0,Right of residence,2.0,0.0,2022
1195000,25.0,2091.0,Lundin,Kungälvs kommun,21.44,1.0,Apartment,1195000.0,0.0,2021.0,4400.0,Right of residence,1.0,1.0,2022
2300000,24.5,1751.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1850000.0,0.0,1967.0,4400.0,Right of residence,4.0,1.0,2022
785000,25.0,1927.0,Svensk,Uddevalla kommun,22.16,1.0,Apartment,795000.0,0.0,1961.0,5424.0,Right of residence,1.0,0.0,2022
2000000,21.2,1275.0,Alvhem,Göteborgs kommun,21.12,1.0,Apartment,1995000.0,0.0,1926.0,4400.0,Right of residence,1.0,0.0,2022
2220000,24.5,1710.0,Fastighetsbyrån,Göteborgs kommun,21.12,1.0,Apartment,1690000.0,0.0,1970.0,5088.0,Right of residence,2.0,1.0,2022
1975000,23.4,1596.0,Bjurfors,Göteborgs kommun,21.12,1.0,Apartment,1850000.0,0.0,1953.0,2400.0,Right of residence,1.0,0.0,2022
2400000,24.0,2203.0,Länsförsäkringar,Göteborgs kommun,21.12,1.0,Apartment,2445000.0,1.0,2020.0,4400.0,Right of residence,14.0,1.0,2022
1425000,21.0,1959.0,CHRISTANDER,Mölndals kommun,20.51,1.0,Apartment,1395000.0,0.0,1952.0,3000.0,Right of residence,2.0,0.0,2021
1850000,25.0,2015.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,1995000.0,0.0,1961.0,4400.0,Right of residence,4.0,0.0,2021
1300000,21.0,1959.0,Svensk,Mölndals kommun,20.51,1.0,Apartment,1250000.0,0.0,1952.0,3000.0,Right of residence,3.0,0.0,2021
230000,23.5,1475.0,Mäklarhuset,Falköpings kommun,21.95,1.0,Apartment,210000.0,0.0,1966.0,2520.0,Right of residence,3.0,1.0,2021
1945000,20.0,1184.0,Svensk,Göteborgs kommun,21.12,1.0,Apartment,1975000.0,0.0,1890.0,1200.0,Right of residence,2.0,0.0,2021
225000,25.0,3132.0,Mäklarhuset,Borås kommun,21.31,2.0,Villa,350000.0,0.0,1961.0,4400.0,Other,2.0,0.0,2021
1700000,25.0,1880.0,Fastighetsbyrån,Mölndals kommun,20.51,1.0,Apartment,1700000.0,0.0,1961.0,4400.0,Right of residence,2.0,0.0,2021
1700000,25.0,1880.0,Fastighetsbyrån,Mölndals kommun,20.51,1.0,Apartment,1700000.0,0.0,1961.0,4400.0,Right of residence,2.0,0.0,2021
1750000,25.0,1880.0,Fastighetsbyrån,Mölndals kommun,20.51,1.0,Apartment,1750000.0,1.0,1961.0,4400.0,Right of residence,2.0,0.0,2021
2120000,24.0,2210.0,Lundin,Göteborgs kommun,21.12,1.0,Apartment,2350000.0,1.0,1961.0,5760.0,Right of residence,10.0,1.0,2021
2000000,21.2,1275.0,Svensk,Göteborgs kommun,21.12,1.0,Apartment,1650000.0,0.0,1926.0,4400.0,Right of residence,1.0,0.0,2021
